"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","w8nwRe","znYl0","Hzvxle","pkWtMe","RfDO5c","RfDO5c 2"
"https://lh3.googleusercontent.com/a-/ALV-UjVrggaf7CFQIo_xwhoBnePtA5eiGq8Rc3h086cfHEPpk9J-jZWF=w45-h45-p-rp-mo-ba5-br100","sujay Lonkar","Local Guide · 187 reviews · 600 photos","7 months ago","Little bit good,tooo oily food, overrated,","More","Like","","","Service","Dine in…"
"https://lh3.googleusercontent.com/a-/ALV-UjVh3WDLDeWHOnRAHyMuEYHjsNEBg0FcR6A8DVi7G4F5_GXL5x0=w45-h45-p-rp-mo-ba4-br100","prathmesh","Local Guide · 36 reviews · 65 photos","8 months ago","Very nice food as well as good service, and atmosphere is very nice","More","","Like","1","Meal type…",""
"https://lh3.googleusercontent.com/a-/ALV-UjV67niCbJ0RHvK09NoS0btN7ZdgTD7heAQf4EfnSaLFn7L_7rHS=w45-h45-p-rp-mo-ba4-br100","Rajwardhan Babanrao Jadhav","Local Guide · 38 reviews · 163 photos","a year ago","Limited veg thali with insufficient quantity. Green pea masala have only masala but no green pea. So just famous by social media reels but in reality its 👎 …","More","","Like","6","",""
"https://lh3.googleusercontent.com/a/ACg8ocJhUArviXegQT8bh0YGHyn6YgIRMgpCYB-_7pyvBA8gdMZakg=w45-h45-p-rp-mo-br100","Vishal Sabale","1 review","4 months ago","Good food, great hospitality visit everyone. Mostly I recommended special mutton thali thank u","More","Like","","","Servic…",""
"https://lh3.googleusercontent.com/a/ACg8ocI3g0ffI1v_wRYbfiIagm2h3-oNHGeHvRMlztpRkosFBYBY=w45-h45-p-rp-mo-br100","Sai Kaneri","1 review","4 months ago","Good & very authentic indian food good service kindly come every one","More","Like","","","5…","Food:"
"https://lh3.googleusercontent.com/a/ACg8ocIlD1dM6gpT4ilhdwRHcMFOZLls9uvRo5OepkT1dqQrz_CXE-4h=w45-h45-p-rp-mo-ba4-br100","Dr. Amit Suman Tukaram Patil","Local Guide · 97 reviews · 11 photos","10 months ago","Food is okay; not that great place for gourmets. However, it's spacious and there are a few interesting things for children. Ducks and rabbits entertain the crowd, but those aren't kept well (hygienically). Staff is good, but few of them …","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVp6MN0yEK0_LO76d842ObWxP2srQ7AKO3WRf9e7YkM3UGV10ns=w45-h45-p-rp-mo-br100","Avinash Akhand 4","2 reviews","2 months ago","Mutton was not hot
Taste was little sweet which made it worst!
It's not at all worthy to spend 500/- here.","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUgoKiWN8CoWmSt8-L3pbLe2_y1ak39eYV9qHIU5fABDoakIDYT=w45-h45-p-rp-mo-br100","Siddhesh Chavan","10 reviews · 5 photos","7 months ago","Quantity of rice included in thali is less and on the top of that quantity of dal served is even lesser...for non-veg thali there is option of unlimited Tambda and Pandra Rassa but for veg thali there is no option of unlimited Dal which is …","More","","Like","1","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ0O76mmvrLU43j-V2OEweZy5g3JsZxnOUDl7oTqQ7pgrMcIA=w45-h45-p-rp-mo-br100","Dinesh Bhandurge","1 review","4 months ago","Such good food and service also good specially I recommend special mutton thali at bhannatwadi I came from belgum so kindly visit everyone","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ0xzgw9dvtH7HSI73X0adu6G0OHncVDxZolX_3baMfiFeTJA=w45-h45-p-rp-mo-br100","Ayush Gode","1 review","4 months ago","Good food & good service also good atmosphere come every one & enjoy specially chops thali thank you","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJA1BjtWF0hWuf-VFHqMoGkO2TUfXxVsX4nRD9MuFpxQUAccA=w45-h45-p-rp-mo-br100","Jay Jay","1 review","4 months ago","Yesterday I was visited hotel bhannatwadi such a great place also such good, delicious & authentic Indian & kolhapuri cuisine food....tambada & pandhara rassa was so good... so request everyone visit bhannatwadi and experience great culinary journey with bhannatwadi & Chef Ramdas Mane","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUVPVsBXpONXdtzm_aO6AMK1yu4cUEs59WSK1y6CHUxBg5nRmDJ=w45-h45-p-rp-mo-ba5-br100","Mukesh Chandwani","Local Guide · 119 reviews · 111 photos","7 months ago","Wonderful place to have dinner with family and friends 🧡 …","More","Like","","","Service","Dine i…"
"https://lh3.googleusercontent.com/a/ACg8ocLRPMV4yrx3F27AknIzVrlhISHUe0CkuIFFXCwLYgqfUPPzgw=w45-h45-p-rp-mo-br100","Raj Kumar","1 review · 3 photos","4 months ago","Such great Indian Authentic food & good service good atmosphere must try thalis here at bhannatwadi","More","Like","","","S…",""
"https://lh3.googleusercontent.com/a/ACg8ocLtuTpxja7Zc5GJW5vIWjTfwV_NWpZmCmJ-UUU0hfkdtJstWA=w45-h45-p-rp-mo-br100","Aishwarya SR","1 review","4 months ago","Such a great food and great service I like butter chicken thali and overall ambience superb thank you","More","Like","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWhxYuim9WhZTjNjDbCQ49OMBKob6yfywMOLkWr1oizv5uS-sGS=w45-h45-p-rp-mo-br100","pratik desai","11 reviews · 7 photos","10 months ago","Food is cold. Management always tries to hurry up and let you finish the food quickly so other people can get the place. Don't look at the hype they have created. Once you get inside,you will see the truth. Food quality is not so good. It's okay. The prices are so high. One small extra curry, they have charged 50rs which is too High.","More","","Like","3","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVRqoEdgj_K01Cw5PTR6pOJdqEbvbW82oGJsQSrS9n3bccqauCe=w45-h45-p-rp-mo-br100","amit Jasud","1 review","4 months ago","The food was  very delicious and service was very good 👍 every one should come to bhannatwadi …","More","Like","","","…","Food:"
"https://lh3.googleusercontent.com/a-/ALV-UjVb19mB3qf_CwHT8rT4fIbC0GPHn7q3vEXeG2vJZRlCEeI5vE-Y=w45-h45-p-rp-mo-br100","Prashant Bhosale","2 reviews · 1 photo","3 weeks ago","Waste of time due to bad behaviour of staff and owner.we came for dinner but left hotel without having food due to rude behaviour","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJv3uhkHgPJOdwqX6oUo-3ItolXu0z0QoUQ86cu4kiSeBipWg=w45-h45-p-rp-mo-br100","Raghunath Hadfadkar","2 reviews","2 weeks ago","Ambeance was good but waste of money  over priced. In this price u can get bettre option in kholapur city itself","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJfWDgt6QiiXbWmbN0GnYUHf_iU3hKK95b8yGehK30U7048rw=w45-h45-p-rp-mo-br100","Harsha Haval","4 reviews","5 months ago","Great experience..
Experience of village...Very interesting for kids.
They enjoy lot of here. Food was also tasty and yummy 😋 …","More","Like","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKfROTvHue1NCkJ6Ju4-Md17Y9HkbiaFtwPg8bozCkNeazj6A=w45-h45-p-rp-mo-ba3-br100","RAKESH JADHAV","Local Guide · 74 reviews · 47 photos","6 months ago","Disappointing Experience at Hotel Bhanatwadi.
My recent visit to Hotel Bhanatwadi left much to be desired. While they excel in marketing themselves, their actual product falls short. The taste of the food …","More","","Like","2","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWx32Ho5pvwuRwT-_MmB3LF-mwXoINM2eEmjIK47kqwwpfH5JPa6A=w45-h45-p-rp-mo-ba5-br100","Cyber Vibes Web Solutions","Local Guide · 93 reviews · 122 photos","8 months ago","Amazing food and taste ... provides clean hygienic food .","More","Like","","","5…","Food:"
"https://lh3.googleusercontent.com/a-/ALV-UjX5mGMlH3ABMo9cIK-Q1Wh8AK5x52JsWuCTEzHJkVEH0QqHv-JvOA=w45-h45-p-rp-mo-br100","Anuja Umaranikar","12 reviews · 1 photo","7 months ago","I had the mutton thali here. Unfortunately, this restaurant is overhyped. The taste is not good at all. They should definitely work on improving it. Additionally, the mutton was chewy.","More","","Like","2","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUqLLjqqzaCPvCNFUxaAGO-S5edX3CkmYjvOIsPloJaPPIoF13APw=w45-h45-p-rp-mo-ba5-br100","Vishal Shiralkar","Local Guide · 240 reviews · 325 photos","2 months ago","Food and services are very best
Taken care of every individual by the staff
Must try","More","Like","","","Service…",""
"https://lh3.googleusercontent.com/a-/ALV-UjVsNE7bKPSJrf5Wng8lJhdVsFEc5h0fwxsMPg7I3YbyBSFUhEGH=w45-h45-p-rp-mo-br100","Dr. Mayur Kedar","8 reviews","4 months ago","Nice taste. Lot of variety food. Must try. But little noisy during evening.","More","Like","","","Service…",""
"https://lh3.googleusercontent.com/a/ACg8ocKySVUjYtluw1DGTIQwGW5eKSsv8rjYlIHLwgnaTTmLUG4thA=w45-h45-p-rp-mo-br100","Sameer Qureshi","2 reviews · 9 photos","2 months ago","500 thali and not good","More","Like","","","1","Food:"
"https://lh3.googleusercontent.com/a-/ALV-UjVmibQ84POAlfBmJlwLniUIyU8c83eXITuv9OUibzf9dAh-7BVB=w45-h45-p-rp-mo-ba2-br100","Sudhir Palve","Local Guide · 2 reviews · 1 photo","6 months ago","Most pathetic taste i have ever had. They dont know how to cook mutton. Most faltu restaurant. Food taste worst. How kolhapur people loves this restaurant i dont know. Actually i dont like to give such reviews but need to warn people about such pathetic taste. Dont go there. Waste of Money.","More","","Like","3","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUfbhdzCoFYqgWaQm9BfZYE3ZVgKnrTN_LRbD3NeGURO8RIqJRV=w45-h45-p-rp-mo-ba3-br100","Patil Akshay","Local Guide · 28 reviews · 16 photos","6 months ago","Beautiful Ambiance
Excellent Food
Excellent Service","More","Like","","","5…","Food:"
"https://lh3.googleusercontent.com/a-/ALV-UjVhNpVaalNYkia9JJ0N9QqruwvFFG5OnbdeGKC5f6BRpGWoM7qOQw=w45-h45-p-rp-mo-br100","Prajakta Indulkar","6 reviews","4 months ago","Best place for kolhapuri cuisine. I am from kolhapur and I'll definitely suggest this place for kolhapuri food. If you want to tey kolhapuri food, must try this ❤️","More","Like","","","",""
